interview__key,sdd_hhid,sdd_indid,plot_id_x,right_id_x,hh_g1bx_01,hh_g1bx_02,hh_g1bx_03_1,hh_g1bx_03_2,hh_g1bx_03_3,hh_g1bx_03_4,hh_g1bx_04,hh_g1bx_05,hh_g1bx_06,hh_g1bx_07,hh_g1bx_08,hh_g1bx_09,hh_g1bx_10_1,hh_g1bx_10_2,hh_g1bx_10_3,hh_g1bx_11,hh_g1bx_12,hh_g1bx_13,hh_g1bx_14,hh_g1bx_15,hh_g1bx_16,hh_g1bx_17_1,hh_g1bx_17_2,hh_g1bx_17_3,hh_g1bx_18,hh_g1bx_19,hh_g1bx_20,hh_g1bx_21,hh_g1bx_22,hh_g1bx_23,hh_g1bx_24_1,hh_g1bx_24_2,hh_g1bx_24_3,hh_g1bx_25,hh_g1bx_26,hh_g1bx_27,hh_g1bx_28,hh_g1bx_29,hh_g1bx_30,hh_g1bx_31_1,hh_g1bx_31_2,hh_g1bx_31_3,hh_g1bx_32,hh_g1bx_33,hh_g1bx_34_1,hh_g1bx_34_2,hh_g1bx_34_3
96-40-12-40,0138-002-001,1,1,SELL,NO,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2,YES,1,,,3,YES,1,,
96-40-12-40,0138-002-001,1,1,BEQUEATH,NO,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2,YES,1,,,3,YES,1,,
96-40-12-40,0138-002-001,1,1,USE AS COLLATERAL,NO,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2,YES,1,,,3,YES,1,,
96-40-12-40,0138-002-001,1,1,RENT OUT,YES,NO,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2,YES,1,,,3,YES,1,,
96-40-12-40,0138-002-001,1,1,MAKE IMPROVEMENTS/INVEST,YES,NO,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2,YES,1,,,3,YES,1,,
29-39-31-65,0420-001-001,1,1,SELL,YES,YES,2,,,,NO,,,YES,2,YES,1,,,NO,,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,
29-39-31-65,0420-001-001,1,1,BEQUEATH,YES,YES,2,,,,NO,,,YES,2,YES,1,,,NO,,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,
29-39-31-65,0420-001-001,1,1,USE AS COLLATERAL,YES,YES,2,,,,NO,,,YES,2,YES,1,,,NO,,,NO,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,
29-39-31-65,0420-001-001,1,1,RENT OUT,YES,YES,2,,,,NO,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,
29-39-31-65,0420-001-001,1,1,MAKE IMPROVEMENTS/INVEST,YES,YES,2,,,,NO,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,
82-79-20-90,0743-001-002,1,1,SELL,NO,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,1,1,BEQUEATH,NO,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,1,1,USE AS COLLATERAL,YES,NO,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,1,1,RENT OUT,YES,NO,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,1,1,MAKE IMPROVEMENTS/INVEST,YES,NO,,,,,,,,YES,2,NO,,,,YES,1,0,NO,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,2,1,SELL,NO,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,2,1,BEQUEATH,NO,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,2,1,USE AS COLLATERAL,NO,,,,,,,,,YES,1,NO,,,,YES,1,1,NO,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,2,1,RENT OUT,YES,NO,,,,,,,,YES,1,NO,,,,YES,1,1,NO,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
82-79-20-90,0743-001-002,2,1,MAKE IMPROVEMENTS/INVEST,YES,NO,,,,,,,,YES,1,NO,,,,YES,1,1,NO,,,,,,,,,,,,,,,,,,YES,1,NO,,,,1,NO,,,
